Depression and anxiety,Life satisfaction,Self-esteem,Subjective happiness,Loneliness,Greenspace use (frequency),Greenspace use (duration),Nature view,Sex,Age,Income,Impact of COVID-19 on income,Number of working days,Number of children,Presence of a pet,Frequency of drinking alcohol,Frequency of smoking,Housing type
12,9,24,18,56,10,3,1,male,60,4,2,7,0,0,0,0,owned_house
2,8,25,15,52,0,0,1,male,71,2,5,7,0,0,0,0,owned_house
5,7,30,21,40,0,0,1,female,79,1,4,0,0,1,0,0,owned_house
11,13,20,15,58,3,3,1,female,43,4,4,0,4,0,4,0,owned_house
7,12,26,20,41,7,1.5,1,female,72,4,4,0,0,0,4,0,owned_house
3,8,25,16,51,4,3,1,male,49,1,4,5,0,0,0,0,rented_flat
0,12,29,18,51,0,0,1,male,65,1,4,0,0,0,7,0,owned_flat
1,11,29,16,45,0,0,0,male,70,3,4,7,0,0,0,7,rented_flat
0,15,37,28,37,6,0.5,1,female,44,1,1,3,0,0,2,0,rented_flat
0,14,31,24,29,2,3,1,female,62,3,4,0,0,0,6,0,owned_house
11,11,13,12,69,0,0,1,male,57,5,4,5,0,0,6,0,owned_house
9,12,31,12,42,20,3,1,male,75,2,4,0,0,0,6,0,owned_house
2,11,25,15,52,0,0,0,male,53,5,4,5,2,0,7,0,rented_flat
4,9,32,18,51,0,0,1,male,55,4,4,5,1,0,7,0,owned_house
2,16,28,24,54,0,0,1,male,73,6,4,0,0,0,3,0,owned_flat
12,9,24,11,78,0,0,1,male,59,1,1,0,1,0,4,7,owned_house
1,13,30,24,29,0,0,1,female,56,5,4,7,0,0,0,0,owned_flat
3,9,25,19,45,0,0,0,male,67,4,2,7,0,0,5,0,owned_house
0,14,36,25,28,0,0,0,female,70,1,4,0,0,0,0,0,owned_flat
8,6,20,17,67,0,0,1,male,34,2,4,4,0,0,0,0,rented_flat
1,11,30,22,48,0,0,1,female,41,3,3,3,0,0,0,0,other
11,9,20,16,62,0,0,1,male,62,1,1,0,0,0,6,7,rented_flat
10,9,20,12,60,0,0,1,male,47,3,4,5,0,0,5,0,owned_house
1,7,16,14,62,0,0,1,male,37,2,4,7,0,0,0,0,owned_flat
3,8,21,15,66,5,1.5,0,male,41,2,3,5,2,0,5,0,owned_flat
1,14,28,16,47,0,0,1,male,48,4,3,5,0,0,3,0,rented_flat
2,12,28,20,38,0,0,1,female,55,5,4,0,0,0,0,0,rented_flat
4,12,26,16,54,0,0,1,male,50,2,4,5,0,0,0,0,rented_flat
7,11,20,16,58,0,0,1,female,46,3,4,5,0,0,4,0,owned_flat
11,8,18,6,62,0,0,1,male,37,4,4,5,0,0,1,0,owned_flat
8,12,24,16,49,1,0.5,1,female,48,2,4,5,4,0,0,0,owned_house
0,13,30,24,24,17,7,1,female,50,5,4,3,0,0,4,0,owned_house
1,14,29,21,32,2,0.5,1,female,74,5,4,0,2,0,3,0,owned_house
2,12,27,21,39,2,1.5,1,male,60,6,4,5,0,0,4,0,owned_flat
0,15,35,24,34,20,7,1,female,67,1,4,7,0,0,4,0,owned_flat
12,15,24,11,65,0,0,1,female,53,4,2,0,1,0,2,0,owned_house
6,9,25,16,54,0,0,1,female,44,5,3,2,0,0,0,0,owned_flat
3,13,33,23,29,3,1.5,1,female,71,2,4,0,0,0,0,0,owned_flat
8,14,23,19,46,0,0,1,female,27,1,2,3,0,0,1,0,other
1,16,39,24,25,2,1.5,1,male,75,2,4,0,0,0,6,0,owned_flat
11,9,18,10,70,0,0,1,female,41,1,4,0,1,0,6,7,rented_flat
10,10,23,14,60,0,0,1,female,47,1,2,1,0,1,0,0,owned_flat
2,10,29,25,35,0,0,1,male,72,2,4,0,0,0,5,0,owned_house
2,12,31,20,45,0,0,1,female,61,2,4,0,0,1,7,0,owned_flat
8,6,23,15,60,0,0,1,female,53,1,4,0,0,0,0,0,owned_flat
6,22,26,20,53,0,0,0,male,62,4,3,5,0,0,5,0,rented_flat
2,0,25,16,49,0,0,1,female,70,2,4,0,0,0,7,0,owned_flat
5,15,26,15,60,4,1.5,1,female,48,5,4,0,0,0,0,0,owned_flat
5,12,27,15,53,0,0,0,male,76,1,4,0,0,0,7,0,rented_flat
2,10,27,18,47,0,0,1,female,70,4,4,0,0,0,5,0,owned_flat
12,11,20,12,59,0,0,1,female,72,1,4,0,0,0,0,0,rented_flat
8,10,24,16,48,0,0,0,male,51,3,4,5,2,0,0,0,owned_house
2,16,31,27,41,0,0,1,female,54,3,4,0,0,0,5,0,owned_house
4,8,29,22,46,0,0,1,male,47,2,4,0,0,0,0,7,rented_flat
6,11,25,16,47,0,0,0,male,56,5,4,0,0,0,0,0,owned_flat
12,10,18,4,52,1,0.5,0,female,32,1,4,0,0,0,0,0,rented_flat
0,12,30,19,31,1,0.5,0,male,52,3,4,5,0,0,1,0,rented_flat
3,13,36,23,50,0,0,1,female,44,6,4,0,0,0,5,0,owned_house
10,22,26,16,52,0,0,0,male,49,3,3,5,1,1,7,7,rented_flat
0,14,38,28,48,0,0,0,female,75,2,4,0,0,0,0,0,owned_flat
8,14,29,16,48,0,0,1,male,72,1,4,0,1,0,0,0,owned_flat
7,5,24,16,52,0,0,1,male,51,4,3,5,0,0,4,5,owned_flat
3,13,21,21,64,10,3,1,female,54,4,4,0,0,0,5,0,rented_flat
2,11,29,18,47,0,0,1,male,74,2,3,0,0,0,7,0,rented_flat
2,12,29,19,51,3,0.5,1,male,73,5,4,5,0,0,4,0,owned_flat
10,8,28,16,50,0,0,1,female,75,2,4,0,0,0,0,0,owned_flat
1,14,28,19,58,0,0,1,female,66,3,4,0,1,0,0,0,owned_flat
0,13,28,18,50,0,0,1,male,70,2,4,0,0,0,0,0,owned_house
4,10,27,18,48,15,3,1,female,56,2,4,0,0,0,7,0,owned_house
0,15,32,24,39,0,0,1,male,48,2,1,5,0,0,6,0,rented_flat
6,11,25,16,48,0,0,0,male,36,4,2,5,0,0,7,0,rented_flat
7,9,25,16,58,2,0.5,1,male,73,2,4,0,0,0,6,0,owned_flat
10,6,25,14,51,0,0,1,female,65,1,4,0,0,0,7,7,rented_flat
6,13,25,20,38,0,0,0,female,48,3,4,5,0,0,7,0,rented_flat
9,12,23,15,44,0,0,1,female,35,4,4,5,0,0,1,0,rented_flat
1,10,27,23,46,0,0,0,male,69,1,4,5,0,0,1,0,owned_flat
7,17,26,23,34,8,0.5,1,female,51,3,3,0,0,1,7,0,owned_house
9,11,18,16,57,0,0,0,female,33,2,2,5,0,0,0,0,rented_flat
3,14,30,24,41,10,3,1,female,56,2,3,5,0,1,7,0,owned_house
7,16,21,17,59,0,0,1,female,45,1,3,0,0,0,1,7,rented_flat
1,13,31,23,22,10,3,1,female,61,4,4,0,0,0,7,0,owned_house
0,13,32,23,48,0,0,1,male,71,6,4,7,0,0,7,0,owned_flat
4,8,28,17,58,5,5,1,male,55,2,1,4,0,0,4,0,owned_house
6,10,26,15,52,5,5,1,male,42,3,3,5,0,0,5,0,owned_house
11,12,26,22,29,7,0.5,1,female,59,1,1,0,0,0,6,0,rented_flat
2,12,28,19,45,0,0,1,female,42,3,4,5,0,0,4,0,rented_flat
2,13,35,25,35,0,0,1,female,74,2,4,0,0,0,0,0,owned_house
2,12,33,26,49,30,0.5,1,male,66,2,1,0,0,1,0,0,rented_flat
2,0,24,20,51,0,0,0,male,67,1,4,0,2,0,4,0,owned_flat
3,10,28,16,54,0,0,1,male,50,5,4,5,0,0,0,0,owned_house
11,12,24,16,39,1,0.5,1,female,57,2,4,0,0,0,1,0,rented_flat
3,9,25,22,46,0,0,1,female,44,5,4,6,0,1,2,7,owned_flat
6,11,25,16,51,0,0,1,female,64,2,4,1,0,1,0,0,owned_flat
0,12,31,21,43,0,0,1,male,64,5,4,7,0,0,7,0,rented_flat
12,9,15,13,79,0,0,1,female,53,5,3,0,2,0,2,0,rented_flat
6,1,26,16,48,2,1.5,0,male,50,3,3,5,2,0,0,0,owned_flat
3,11,27,20,53,3,1.5,1,female,78,1,3,0,0,0,0,0,owned_house
2,12,26,20,44,2,1.5,1,female,71,3,2,7,1,0,0,7,rented_flat
10,12,23,16,51,15,0.5,1,male,40,5,4,7,2,0,0,0,other
7,1,26,13,50,0,0,0,male,61,1,4,7,0,0,0,0,owned_flat
0,14,38,28,33,0,0,1,female,58,3,4,7,1,1,1,7,owned_house
1,11,33,22,46,4,0.5,0,female,53,4,5,5,1,0,7,0,rented_flat
1,17,30,22,38,3,7,1,male,65,4,3,5,0,0,4,0,owned_flat
12,9,13,7,75,0,0,1,female,45,5,3,6,1,1,4,0,owned_house
5,12,27,14,46,0,0,1,female,64,2,2,5,0,1,0,7,rented_flat
0,16,30,25,37,15,3,1,male,50,5,4,7,1,0,4,0,rented_flat
0,12,36,27,23,20,3,1,female,73,4,3,0,0,0,4,0,owned_house
1,8,30,18,44,2,0.5,1,female,51,1,2,3,1,0,0,0,owned_flat
3,14,31,25,37,4,1.5,0,male,47,6,4,5,1,0,2,7,owned_flat
0,16,32,20,45,0,0,1,male,72,2,4,0,0,0,0,0,owned_house
2,15,26,19,50,0,0,1,female,53,6,4,5,1,0,0,0,owned_house
1,12,30,17,29,4,3,1,male,38,4,4,5,0,0,4,0,rented_flat
5,10,27,18,51,0,0,1,female,66,4,4,0,0,1,4,0,owned_house
0,14,32,25,41,6,3,1,male,59,6,3,5,0,0,7,0,owned_house
10,12,17,9,75,0,0,0,female,35,1,4,5,0,0,1,0,rented_flat
11,11,23,18,49,0,0,1,female,73,2,4,0,0,1,0,0,owned_house
7,13,27,23,50,0,0,1,female,63,3,4,0,0,0,3,0,owned_flat
0,14,37,24,25,0,0,1,female,72,6,4,0,0,0,1,0,owned_house
3,9,26,16,51,0,0,1,female,56,1,4,5,0,1,1,0,rented_flat
5,18,27,20,34,0,0,0,female,79,4,3,0,0,0,4,0,owned_house
4,12,28,22,50,5,7,1,male,59,3,3,7,0,1,0,0,owned_house
12,9,26,16,48,1,0.5,1,female,56,5,5,5,0,0,1,0,owned_house
3,11,20,16,57,0,0,1,female,45,2,4,5,0,0,4,7,rented_flat
7,12,26,16,53,2,0.5,1,male,62,2,4,5,0,0,0,0,owned_house
1,12,26,16,49,0,0,0,male,60,3,4,0,0,0,0,7,owned_flat
1,14,34,24,27,1,1.5,1,male,71,3,4,0,0,1,2,0,owned_house
6,13,29,18,44,0,0,1,male,54,1,3,7,0,0,0,7,rented_flat
2,13,35,25,31,0,0,1,female,74,3,4,7,0,0,0,0,owned_house
4,13,33,24,35,0,0,1,male,75,1,4,7,0,0,6,0,owned_house
12,12,20,12,52,4,0.5,1,male,49,5,4,5,3,1,4,0,owned_house
6,13,27,18,39,2,0.5,1,female,64,1,4,7,0,0,0,0,rented_flat
5,14,29,19,46,0,0,1,male,76,2,4,0,0,1,0,7,owned_house
0,12,31,20,35,15,0.5,1,female,71,1,4,0,0,0,0,0,owned_house
3,9,30,10,71,7,1.5,1,male,65,1,4,0,0,0,0,0,rented_flat
12,11,18,14,68,0,0,1,male,61,4,2,6,0,0,7,0,owned_house
7,14,24,18,43,0,0,1,female,36,3,3,5,1,0,2,0,rented_flat
0,15,31,21,44,1,0.5,1,male,65,6,4,7,0,1,7,0,owned_flat
8,11,23,18,43,2,1.5,1,female,40,4,3,2,4,0,2,0,rented_flat
3,10,23,21,48,0,0,1,male,62,6,4,0,0,1,6,0,owned_house
4,9,22,16,55,0,0,0,male,70,2,4,7,0,0,7,0,owned_house
2,12,37,28,20,4,1.5,1,male,44,5,4,5,2,0,4,0,owned_house
0,13,30,23,40,20,9,1,male,48,4,3,7,1,0,6,0,owned_flat
2,14,28,20,48,0,0,1,female,36,5,4,5,1,0,0,0,other
3,8,27,18,51,4,0.5,1,male,71,2,4,0,0,1,4,0,owned_house
6,15,20,12,59,0,0,1,male,56,3,4,5,0,0,6,0,rented_flat
4,7,29,20,39,4,3,1,female,70,1,4,0,0,0,3,0,owned_flat
0,13,31,23,36,0,0,1,female,68,3,4,0,0,0,2,0,owned_house
9,8,21,12,51,0,0,1,male,47,3,4,7,0,0,0,0,owned_flat
2,14,30,21,40,0,0,1,male,64,3,3,4,0,0,7,0,owned_house
0,9,28,21,40,6,3,1,female,68,1,4,0,0,0,0,0,owned_flat
8,12,28,17,47,1,0.5,1,female,62,1,4,0,0,1,0,0,owned_house
11,15,20,12,50,3,0.5,1,female,60,4,4,0,0,0,4,7,owned_flat
6,12,24,22,61,0,0,0,female,55,1,4,0,1,0,2,0,rented_flat
8,11,26,16,45,5,0.5,1,female,71,2,4,0,2,1,0,0,owned_house
0,8,26,21,49,0,0,0,male,74,1,4,0,0,0,0,0,owned_house
2,11,27,16,49,0,0,0,female,72,1,4,0,0,0,0,0,owned_house
5,12,27,21,38,0,0,0,female,42,6,4,5,0,0,4,0,owned_flat
1,10,28,19,53,0,0,0,male,38,5,4,5,0,0,4,7,rented_flat
2,12,22,16,62,0,0,0,male,59,2,4,5,1,1,0,0,other
3,10,19,14,70,1,0.5,1,female,53,1,5,0,0,0,0,0,rented_flat
1,12,29,24,45,0,0,1,female,68,4,4,0,2,0,0,0,owned_house
0,12,40,28,26,31,3,1,female,70,3,4,0,0,0,0,0,owned_flat
3,16,27,18,45,0,0,1,male,67,2,4,0,0,0,7,7,owned_house
11,8,14,11,55,3,1.5,1,male,36,2,4,5,2,0,4,0,owned_flat
1,10,30,21,48,25,7,1,female,60,4,4,5,0,0,5,7,owned_house
6,10,24,16,47,3,0.5,1,male,50,2,5,5,1,0,0,7,owned_house
2,13,26,19,31,0,0,1,female,47,1,2,2,1,0,7,0,rented_flat
6,11,24,16,51,0,0,0,female,45,4,4,0,2,1,1,0,owned_flat
0,13,29,19,40,0,0,1,male,43,5,4,5,0,0,5,7,owned_flat
6,9,25,17,59,15,9,1,female,72,1,4,0,0,0,7,0,owned_flat
4,11,30,21,34,0,0,1,female,71,1,4,0,0,0,7,0,owned_flat
2,11,23,16,58,5,0.5,1,male,64,3,4,0,0,0,7,0,owned_flat
2,11,33,16,29,0,0,0,female,46,5,4,5,0,1,5,7,rented_flat
5,10,17,13,63,0,0,0,male,51,6,4,5,0,0,5,7,owned_flat
9,7,15,14,71,0,0,0,male,56,2,4,5,0,0,0,7,rented_flat
2,14,29,18,49,0,0,0,male,66,3,4,0,0,0,0,0,owned_house
1,12,26,20,39,0,0,1,female,27,3,4,6,0,0,5,0,rented_flat
7,10,28,12,48,0,0,1,female,44,1,4,7,0,0,5,7,rented_flat
1,14,29,18,51,0,0,1,male,48,3,4,5,1,1,4,0,owned_flat
0,12,30,22,42,0,0,1,female,67,1,4,3,0,0,0,7,owned_flat
6,12,29,17,45,0,0,1,male,72,1,1,0,0,0,0,0,rented_flat
6,14,29,19,48,15,5,1,male,57,1,1,0,0,0,5,0,rented_flat
0,14,34,25,33,0,0,1,female,71,3,4,0,0,0,5,0,owned_house
6,14,28,23,40,0,0,1,female,49,2,1,5,1,1,0,0,owned_house
8,9,23,16,51,0,0,1,male,48,1,4,7,0,0,6,7,rented_flat
2,4,17,13,76,0,0,1,male,28,2,4,5,0,0,0,0,rented_flat
9,12,18,13,49,0,0,0,female,56,1,5,0,0,1,3,0,owned_flat
1,14,29,22,45,0,0,1,male,63,4,4,5,1,0,6,0,owned_house
0,12,28,20,45,3,1.5,1,male,67,3,4,0,0,1,0,0,other
3,8,25,14,51,0,0,1,male,36,2,4,5,0,1,0,0,owned_flat
0,10,29,21,42,4,7,1,female,75,3,4,5,3,0,0,0,owned_house
2,13,27,17,45,4,0.5,1,male,71,1,3,7,0,0,7,7,other
0,12,27,17,51,0,0,1,male,61,2,2,4,0,0,5,0,owned_house
5,13,36,19,36,2,0.5,1,male,50,4,4,5,2,0,5,0,owned_flat
2,10,33,16,45,0,0,1,male,54,3,4,5,2,0,7,0,owned_flat
7,8,27,16,48,0,0,1,male,53,6,4,5,2,0,0,0,owned_house
3,14,32,24,35,3,1.5,0,male,57,4,1,7,0,0,6,0,owned_flat
5,22,25,12,48,0,0,0,male,29,2,2,5,0,0,0,0,rented_flat
4,13,33,23,45,2,1.5,1,male,56,5,4,5,1,0,7,0,owned_flat
1,7,27,18,41,0,0,1,male,68,3,3,5,0,0,3,0,owned_house
6,5,19,9,74,0,0,0,male,55,1,4,7,0,0,0,0,rented_flat
3,14,30,25,35,0,0,1,female,76,2,4,0,0,1,0,0,owned_house
1,9,29,18,49,0,0,1,male,79,1,4,0,0,0,0,0,owned_flat
2,19,26,20,48,4,1.5,1,female,51,5,4,5,0,1,1,0,owned_flat
2,14,29,28,40,0,0,1,male,52,1,1,7,0,0,0,0,owned_flat
3,12,32,16,45,1,0.5,1,male,31,1,2,1,0,0,7,7,rented_flat
4,14,23,18,52,3,1.5,1,female,37,5,4,7,1,0,0,0,owned_house
5,13,30,20,38,0,0,1,female,66,4,4,4,0,0,0,0,rented_flat
9,11,17,16,72,0,0,0,female,45,2,1,6,0,0,6,0,owned_flat
2,14,26,22,48,30,0.5,1,female,56,4,4,7,3,0,7,0,owned_house
3,11,29,20,45,8,3,1,male,73,3,4,0,0,0,5,0,owned_house
12,6,21,18,62,0,0,1,female,60,4,4,7,0,0,0,0,owned_flat
3,16,29,22,40,0,0,1,female,72,2,4,0,0,0,0,0,rented_flat
0,9,31,20,35,0,0,1,female,72,1,2,0,0,0,5,0,rented_house
8,11,15,19,63,3,1.5,1,female,34,2,4,5,2,0,0,0,rented_flat
6,12,26,17,47,0,0,1,female,73,4,4,0,5,0,0,0,owned_flat
0,13,27,22,41,0,0,1,male,39,2,3,5,0,0,7,0,owned_house
6,11,25,16,47,0,0,0,male,25,1,4,5,0,0,0,0,other
6,8,22,14,54,1,1.5,1,male,36,2,2,5,0,0,1,0,rented_flat
9,14,25,20,43,3,1.5,1,female,63,3,1,0,3,1,0,0,owned_flat
6,12,25,20,30,0,0,1,female,68,1,4,7,0,0,0,0,rented_flat
6,13,28,13,49,1,0.5,1,male,57,3,2,5,0,1,1,7,owned_house
1,14,33,21,43,0,0,1,male,60,2,4,5,0,0,0,7,owned_house
7,19,29,20,49,0,0,1,female,70,2,4,0,2,0,0,0,owned_house
2,10,36,22,28,0,0,1,male,48,6,4,5,0,0,6,7,owned_house
2,15,30,21,55,0,0,1,male,72,1,5,0,0,0,5,0,owned_house
4,7,23,18,33,7,3,1,female,77,3,4,0,0,0,0,0,rented_flat
0,14,32,21,41,0,0,1,male,59,6,4,5,0,0,4,0,owned_house
0,13,30,20,43,3,3,1,male,71,4,4,0,0,0,7,0,owned_house
7,11,28,18,53,3,0.5,1,male,72,3,4,0,0,0,4,0,owned_flat
7,10,25,23,62,0,0,1,female,51,3,4,7,3,1,0,0,owned_house
3,12,28,18,49,0,0,1,male,54,3,4,5,0,0,0,0,owned_house
0,16,29,21,39,3,0.5,1,female,70,6,4,0,0,0,0,0,owned_house
1,14,29,20,56,0,0,1,male,67,1,4,5,0,0,0,0,rented_flat
8,8,21,15,62,2,0.5,1,female,62,1,3,0,0,0,0,0,rented_house
3,12,29,19,48,0,0,1,female,50,4,2,5,0,0,5,7,owned_flat
0,13,33,18,46,0,0,1,female,46,2,2,5,0,0,1,0,owned_house
0,11,30,25,36,1,1.5,0,female,64,1,4,7,0,0,7,0,owned_flat
2,13,29,17,46,0,0,1,female,70,4,4,0,0,0,0,0,owned_house
10,11,18,13,58,0,0,1,male,41,2,2,5,0,0,0,0,rented_flat
1,11,29,23,40,3,0.5,1,male,69,2,4,5,0,1,7,0,owned_flat
12,17,12,10,62,0,0,1,female,34,6,5,0,0,1,0,0,rented_flat
0,11,31,26,39,0,0,1,male,71,6,3,0,0,0,6,0,owned_flat
12,10,20,14,60,6,1.5,1,female,63,2,3,0,0,1,7,4,owned_flat
5,16,34,22,33,0,0,1,male,77,2,4,0,0,0,0,0,owned_house
11,12,16,8,57,0,0,0,male,51,4,4,7,0,0,5,0,other
6,11,27,20,55,0,0,1,female,75,1,4,0,1,0,5,0,owned_house
0,12,32,28,24,0,0,1,female,77,4,4,0,0,0,5,0,owned_house
7,12,25,17,50,0,0,1,male,27,3,1,7,0,0,5,2,rented_flat
2,14,29,23,42,25,3,1,female,43,4,3,5,2,0,4,0,owned_house
1,10,28,14,50,0,0,1,female,60,1,4,7,0,1,7,0,rented_flat
6,9,29,18,44,20,7,1,female,73,2,3,0,0,1,6,0,owned_house
4,12,27,17,28,0,0,1,male,60,3,5,7,0,0,5,0,owned_house
6,11,25,16,51,1,0.5,1,male,58,4,4,5,0,1,4,0,owned_house
0,14,26,18,43,0,0,1,male,64,3,4,5,0,1,7,0,owned_house
0,12,35,24,31,0,0,1,male,71,6,3,4,2,1,0,7,owned_house
8,10,24,8,52,0,0,1,female,65,1,4,0,0,0,7,0,rented_flat
3,8,25,13,68,5,1.5,1,male,52,1,3,7,0,0,1,0,rented_flat
0,10,30,20,50,20,0.5,1,male,70,1,4,0,0,0,7,0,owned_flat
9,12,27,14,45,0,0,0,female,51,2,4,5,0,0,0,6,owned_flat
4,13,26,17,54,0,0,0,male,36,4,4,5,0,0,3,0,rented_flat
6,10,26,14,49,5,1.5,1,male,61,4,1,6,0,0,6,7,owned_flat
2,15,33,22,39,3,3,1,male,68,5,3,5,0,0,0,0,owned_house
6,11,25,16,49,0,0,0,male,39,1,4,0,0,0,0,0,rented_flat
7,12,25,17,43,20,12,1,female,42,1,1,6,1,0,7,7,rented_flat
6,12,20,12,57,0,0,1,female,46,1,3,5,2,0,4,0,rented_flat
2,10,31,16,44,0,0,1,male,30,4,4,5,0,0,1,0,owned_house
4,7,25,18,57,0,0,0,female,29,2,2,2,0,0,1,0,rented_flat
5,11,29,19,47,30,12,1,male,70,4,4,5,1,0,7,7,owned_flat
2,12,33,19,50,0,0,1,female,63,2,1,7,0,0,1,7,other
3,11,28,22,44,3,1.5,1,male,75,2,4,5,0,1,3,0,owned_house
3,13,30,23,25,0,0,0,female,43,3,4,7,3,0,7,0,owned_house
0,11,29,20,46,0,0,1,female,79,2,4,0,0,0,0,0,owned_house
2,11,28,23,57,0,0,1,female,44,5,4,4,0,0,0,0,owned_house
10,10,23,16,49,0,0,1,male,61,4,3,5,0,0,7,7,owned_house
2,10,20,18,46,0,0,1,male,49,2,3,7,0,0,0,0,owned_house
2,15,34,23,40,5,0.5,1,female,52,3,4,7,0,0,0,0,rented_flat
6,11,29,18,43,0,0,1,female,55,5,4,5,3,0,0,0,owned_house
0,15,29,18,44,0,0,1,male,71,1,4,0,0,0,4,0,owned_house
5,13,30,21,30,0,0,1,male,73,3,4,0,3,0,7,0,owned_house
0,15,33,24,44,0,0,1,male,71,4,4,0,0,0,7,0,owned_flat
0,16,37,28,30,30,7,1,female,70,1,4,0,0,0,0,0,rented_flat
7,14,28,21,39,0,0,1,female,57,4,4,0,0,1,0,0,owned_flat
6,11,24,15,40,0,0,1,male,78,2,4,0,0,0,7,0,owned_flat
7,6,21,14,57,0,0,1,female,50,1,3,5,0,0,4,7,owned_flat
0,12,32,18,54,0,0,1,female,56,2,4,5,0,0,0,0,owned_flat
7,10,27,16,47,0,0,1,female,66,3,4,4,0,0,7,0,rented_flat
2,11,19,17,55,0,0,1,female,40,6,2,0,2,0,1,0,owned_house
8,12,19,16,49,0,0,1,male,39,1,4,7,2,0,5,0,rented_flat
3,15,31,28,53,2,5,1,female,71,2,5,0,0,0,5,7,owned_house
0,12,38,28,23,0,0,1,male,62,6,4,5,0,0,7,0,owned_flat
9,4,24,18,50,2,1.5,0,male,71,4,4,5,2,1,7,7,owned_flat
4,17,29,21,60,1,0.5,1,male,72,2,4,0,3,0,7,0,owned_house
0,14,31,22,39,10,3,1,male,76,3,3,0,0,0,5,0,rented_flat
5,13,28,21,41,20,0.5,1,male,71,3,3,0,0,0,6,0,owned_house
5,11,24,17,53,0,0,0,male,60,5,4,5,0,0,6,0,owned_flat
1,11,28,22,54,0,0,1,female,60,4,4,0,2,1,4,0,rented_house
2,12,23,18,48,30,12,1,female,40,5,4,0,2,1,2,0,owned_flat
8,11,18,16,60,0,0,0,female,49,4,3,5,0,0,6,0,rented_flat
0,10,30,17,45,0,0,1,female,67,1,3,2,0,0,7,0,rented_flat
0,13,39,24,26,0,0,1,female,56,5,4,5,0,0,6,7,owned_flat
9,15,25,17,52,3,0.5,1,female,51,6,3,5,2,1,4,6,owned_house
7,12,26,15,45,0,0,0,female,39,2,4,7,0,0,7,0,rented_flat
12,12,17,12,55,0,0,1,female,45,4,3,4,1,0,0,0,owned_house
0,10,32,25,35,0,0,1,male,62,3,4,0,0,0,6,0,other
5,13,33,21,31,0,0,1,female,70,5,4,5,0,0,5,7,owned_house
1,14,29,20,30,8,7,1,female,71,4,4,0,0,0,0,0,owned_house
4,11,29,23,31,0,0,0,female,60,5,4,5,0,0,0,0,other
7,12,23,17,56,0,0,0,male,43,6,4,7,2,0,2,0,owned_flat
1,16,30,22,47,3,0.5,1,male,72,1,4,0,0,0,6,0,owned_house
1,15,30,18,44,2,1.5,1,male,70,4,4,0,0,0,7,0,owned_house
0,12,35,17,28,6,9,1,female,42,3,4,5,1,1,6,0,owned_house
12,11,24,13,58,5,1.5,1,male,58,4,3,7,0,0,4,7,owned_house
0,11,31,19,41,0,0,1,female,72,4,4,0,1,0,0,0,owned_flat
11,12,20,12,55,0,0,0,female,30,3,4,5,0,0,0,0,rented_flat
1,15,34,22,35,4,5,1,male,70,2,4,6,0,0,6,0,owned_house
2,14,24,19,51,1,1.5,1,female,51,2,1,0,0,1,4,0,owned_house
0,15,29,20,42,0,0,1,male,59,2,4,5,0,0,0,0,owned_flat
4,11,28,14,43,4,1.5,1,male,73,2,4,0,0,0,0,7,owned_house
1,14,30,21,46,0,0,1,female,75,1,3,0,0,0,6,0,owned_house
7,10,15,15,56,0,0,1,female,60,1,4,0,0,0,7,0,owned_house
0,12,40,22,20,0,0,1,male,61,6,4,5,0,0,7,0,owned_house
6,10,31,20,45,0,0,1,female,72,6,4,0,1,0,0,0,owned_house
1,9,31,26,41,0,0,0,female,67,1,4,7,0,0,6,0,owned_flat
2,10,25,16,43,0,0,0,female,45,4,4,5,1,0,0,0,owned_house
5,4,26,17,50,0,0,1,male,75,1,4,0,0,1,7,0,owned_house
5,13,27,18,36,7,3,1,male,72,6,3,6,0,0,7,0,owned_house
6,0,25,16,51,0,0,0,female,34,6,4,0,4,1,0,0,owned_house
3,12,29,23,37,10,0.5,1,female,71,2,4,0,0,0,5,0,owned_house
1,5,27,17,51,0,0,0,male,66,1,4,0,0,0,7,0,owned_flat
0,15,32,21,37,2,0.5,1,female,60,2,4,0,0,1,1,7,owned_flat
3,16,27,12,61,0,0,0,male,35,2,3,5,3,0,4,0,owned_house
0,16,29,19,37,20,9,1,female,71,1,4,0,0,0,0,0,owned_house
4,12,29,21,41,15,5,1,male,48,2,4,5,0,0,1,0,rented_flat
8,10,23,16,43,15,3,1,female,73,5,4,0,0,0,4,0,owned_house
9,8,26,20,30,2,1.5,1,female,75,1,4,0,0,1,2,0,owned_house
2,9,31,20,33,2,1.5,1,male,73,2,4,0,0,1,4,0,owned_house
2,8,26,13,51,1,5,1,male,36,4,4,5,3,0,5,7,owned_house
10,8,23,16,45,7,0.5,1,male,79,1,5,0,0,0,7,0,rented_flat
0,12,29,24,42,15,7,1,female,40,4,3,4,0,0,7,0,rented_flat
0,14,29,21,41,0,0,1,male,42,3,4,6,2,0,6,6,owned_flat
7,13,29,21,28,0,0,1,male,47,3,3,5,1,0,7,0,other
5,12,27,18,38,10,5,1,male,71,1,4,0,0,0,0,0,owned_flat
0,15,30,20,32,0,0,1,female,71,6,4,7,0,1,0,7,owned_house
12,5,21,9,55,0,0,1,male,54,1,4,5,0,0,3,7,owned_house
0,13,31,21,35,4,0.5,1,male,70,3,4,0,0,0,5,0,owned_flat
1,16,29,23,28,3,1.5,1,male,65,3,4,0,0,0,7,0,owned_house
