Depression and anxiety,Life satisfaction,Self-esteem,Subjective happiness,Loneliness,Greenspace use (frequency),Greenspace use (duration),Nature view,Sex,Age,Income,Impact of COVID-19 on income,Number of working days,Number of children,Presence of a pet,Frequency of drinking alcohol,Frequency of smoking,Housing type
5,12,29,18,46,0,0,1,male,74,1,1,7,0,0,7,0,owned_house
8,8,26,19,40,0,0,1,male,70,1,4,5,0,0,0,0,rented_flat
6,3,25,15,53,0,0,0,male,49,3,4,5,1,0,2,4,rented_flat
12,8,17,12,61,0,0,1,female,46,3,3,7,0,0,0,0,owned_house
1,12,29,17,52,3,0.5,1,male,54,5,4,5,0,0,0,0,rented_flat
2,16,31,26,51,0,0,1,male,44,3,4,4,0,0,6,0,owned_flat
8,10,23,21,40,0,0,1,female,77,1,3,0,0,0,0,0,owned_house
1,12,28,18,51,0,0,1,male,70,4,4,7,0,0,2,0,owned_house
7,9,21,14,49,0,0,0,male,55,5,3,7,2,0,5,4,owned_flat
2,13,28,21,30,2,1.5,1,female,75,4,4,5,0,0,4,0,owned_flat
10,14,20,12,62,0,0,1,male,56,1,1,0,0,0,4,7,rented_house
5,4,25,18,47,0,0,1,male,36,3,4,5,3,0,2,0,owned_house
11,6,19,11,66,0,0,1,male,47,1,4,6,0,0,2,0,rented_flat
2,10,31,19,54,0,0,1,male,72,3,4,0,0,0,7,7,owned_flat
4,15,28,15,54,0,0,0,male,65,4,4,5,0,0,7,7,owned_flat
1,15,34,22,33,1,0.5,1,male,72,6,4,3,0,0,4,0,owned_house
0,17,30,22,51,0,0,1,male,40,5,4,5,3,0,5,7,owned_house
6,12,22,17,53,0,0,1,female,59,1,4,0,0,0,0,0,owned_house
1,16,30,22,42,1,0.5,0,male,73,3,4,0,0,0,0,0,owned_flat
11,4,24,14,54,0,0,1,male,35,5,1,7,2,1,7,7,owned_flat
2,14,29,17,49,0,0,1,female,60,5,4,0,0,0,1,0,owned_house
7,11,30,15,66,0,0,0,male,59,2,4,5,0,0,7,0,rented_flat
11,12,26,12,59,0,0,1,male,57,4,3,7,0,0,2,0,owned_flat
5,14,28,19,37,0,0,1,female,36,3,3,4,3,0,0,0,owned_house
5,8,27,17,53,10,0.5,1,female,75,2,4,0,0,0,7,0,owned_flat
12,11,22,7,66,0,0,0,male,43,1,3,7,0,1,1,0,other
7,10,27,18,48,0,0,0,male,33,2,4,5,0,0,0,0,owned_house
1,12,29,20,29,0,0,1,female,64,4,4,4,0,0,6,7,owned_house
1,11,25,19,52,0,0,1,female,73,3,4,0,0,0,0,0,owned_house
7,14,36,22,43,0,0,0,male,57,6,4,7,0,0,4,0,owned_flat
11,13,28,14,44,0,0,1,male,60,5,3,7,0,0,5,0,owned_house
3,15,31,20,51,9,0.5,1,male,61,2,4,5,0,0,0,0,rented_flat
5,12,28,20,64,0,0,1,female,45,5,4,7,0,0,2,0,owned_house
4,12,29,23,33,0,0,1,male,75,2,4,0,0,0,0,0,owned_flat
4,11,21,11,49,0,0,0,male,36,5,1,0,0,0,0,0,owned_flat
2,12,34,23,53,3,0.5,1,female,50,3,5,5,0,0,3,0,rented_flat
9,13,21,20,42,2,0.5,1,female,37,3,4,5,0,0,6,0,rented_flat
0,17,26,18,41,0,0,1,female,49,4,4,0,2,1,7,0,owned_house
